	DATE	31/08/2007	07/09/2007	28/09/2007	11/10/2007	22/10/2007	31/10/2007	14/11/2007	23/11/2007	23/11/2007	1/12/2007	1/16/2008	1/24/2008	2/5/2008	13/02/2008	3/5/2008	14/03/2008	3/26/2008
RBGR	Rose Breasted GrossBeak	-	-	-	-	-	-	-	-	Oe	-	-	-	Oe	-	-	-	-
RUGD	Ruddy Ground Dove	-	-	-	-	-	-	-	Ps	-	Ps	-	-	-	-	-	-	-
RUPI	Ruddy Pigeoun	-	-	Ps	-	-	-	Ob	-	-	-	-	-	-	-	-	-	-
RBWW	Rufous Breasted Wood Wren	-	-	Ob	-	-	-	Oe	-	Oe	-	-	-	-	-	-	-	Oe
RTHU	Rufous Tailed Hummingbird	-	Ob	Ob	-	Ob	-	Ob	Ob	Ob	Ob	Ob	Ob	Ob	Ob	Ob	Ob	Oe
SBHU	Scaly Breasted Humming 	-	Ob	-	-	-	-	-	-	-	Ob	-	-	-	-	-	-	-
SCPI	Scaly Pigeon	-	-	-	-	-	-	-	-	-	-	-	Oe	Oe	Oe	Oe	-	-
SRTA	Scarlet Rumped Tanager	Ps	Ps	Oe	Ob	Ob	Ob	Ob	Oe	Oe	Ob	Ob	-	Oe	Oe	Ob	Ob	Ob
STDA	Scarlet Thigted Dacnis	-	-	-	-	-	-	-	-	-	-	-	Oe	-	-	-	-	-
STTA	Silver Throated Tanager	-	-	Ps	-	-	-	-	Ob	Oe	Ob	-	-	-	-	-	-	-
SHTF	Slate Headed Toddy Flycatcher	-	-	Oe	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SLSP	Slaty Spinetail	-	-	-	-	-	-	-	-	Oe	Ps	-	Ps	Ps	-	-	-	-
SBWO	Smoky Brown Woodpecker	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SBAN	Smooth Billed Ani	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SNBH	Snowy Bellied Hummingbird	-	-	-	-	-	Ob	-	-	-	-	-	Ob	Oe	-	-	-	-
SOFL	Social Flycatcher	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SOEA	Soltary Eagle	Oo	Oe	-	-	Ps	Ps	-	-	-	-	-	-	-	-	-	-	-
SBTY	Southern Breadless Tyrant	-	-	-	Oe	-	-	-	-	-	-	-	-	-	-	-	-	-
SPTA	Speckled Tanager	-	-	Oe	-	-	-	-	-	-	-	Oe	-	-	-	-	Ob	-
SCEU	Spotted Crowned Euphonia	-	-	-	-	Ob	Ob	-	-	-	-	-	-	-	-	-	-	-
SPSA	Spotted Sandpipper	-	-	Oe	-	-	-	-	-	-	-	-	-	-	Oe	-	-	-
SQCU	Squirrel Cuckoo	-	Ps	Ps	Ps	-	-	Ps	Oe	-	Ps	-	-	-	Ps	Ps	Oe	Ps
SHWO	Streaked Headed Woodcreeper	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
STSA	Streaked Saltator	Oe	-	-	-	-	Ob	-	-	-	-	-	Ob	-	-	Ps	Ps	Ps
SWPA	Sulfur Winged Parrot	-	-	-	-	-	Oe	-	Oe	Oo	Oo	Ps	Ps	Ps	Ps	-	Ps	-
SRFL	Sulphure Rumped flycatcher	-	-	-	-	-	-	-	-	Ob	-	-	Ob	-	-	Ob	Ob	Ob
SUTA	Summer Tanager	-	-	-	-	-	Oe	Oe	-	Ob	-	-	Oe	Ps	Ps	-	-	-
SWTH	Swainsons Thrush	-	-	-	-	-	-	-	Oe	-	-	-	Ob	-	-	-	Ob	-
TEWA	Tenesse Warbler	-	-	-	-	Ob	-	-	-	Ob	-	-	-	Oe	Oe	-	Ob	-
TBSF	Thick Billed Seed Finsch	-	-	-	-	Ob	-	-	-	-	-	-	-	-	-	-	-	-
TRGN	Tropical Gnatcatcher	Ps	Ps	Ps	Ps	Ps	-	-	-	Ps	-	Oe	Ps	Ps	-	Ps	-	Oe
TUVU	Turkey Vulture	Oo	Oo	Oo	Oo	-	-	Oo	-	-	-	Oo	Oo	Oo	Oe	-	-	Oo
VASE	Variable Seedeater	Ob	-	Ob	-	Ob	Ob	Oe	-	-	-	-	-	-	Oe	-	-	-
VITR	Violaceous Trogon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VCWO	Violet Crowned Woodnymph	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VHHU	Violet Headed Hummingbird	-	-	-	-	-	-	-	-	-	-	Ob	-	-	-	-	-	-
VISA	Violet Sabrewing	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WBWO	Wedge Billed woodcreeper	-	-	-	Ob	-	-	-	-	-	-	-	-	-	Ob	-	-	-
WCPA	White Crowned Parrot	Ps	Ps	Oe	Oo	Oe	Ob	Oe	Oe	Ps	Oo	Oo	Oo	Oo	Oe	Ps	Ps	-
WHHA	White Hawk	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRMA	White Ruffed Manakin	-	-	-	Ob	Ob	Ob	Ob	Ob	Ob	Ob	Ob	Ob	Ob	Ob	-	-	-
WTDO	White Tipped Dove	-	-	Oe	Ob	-	-	Oo	Oe	Ob	Ob	Oe	Oe	-	Oe	-	Ob	Ob
WTSI	White Tipped Sicklebill	Ob	Ob	-	-	-	-	-	Ob	-	Ob	Ob	Ob	-	Ob	Oe	-	-
WWBE	White Winged Becard	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Ob	-	-
YBFL	Yellow Bellied Flycatcher	-	-	Ob	-	-	-	-	Ob	-	-	-	Ps	-	-	Ps	Ob	Ps
YBEL	Yellow Billed Elania	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YCEU	Yellow Crowned Euphonia	-	-	Ps	Ps	-	Ps	-	Ps	-	-	-	-	-	-	-	-	-
YFGR	Yellow Faced Grassquit	-	-	-	Ob	-	-	-	-	-	-	Oe	-	-	-	-	-	-
YGVI	Yellow Green Vireo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YOFL	Yellow olive Flycatcher	-	-	-	-	-	-	-	-	-	Ob	-	-	-	-	-	-	-
YTVI	Yellow Throated Vireo	-	-	-	-	Oe	-	-	-	-	-	-	-	-	-	Ob	-	-
YETY	Yellow Tyranulet	-	-	-	-	-	-	-	-	-	-	Ob	-	-	-	-	-	-
YEWA	Yellow Warbler	-	-	Oe	Oe	Oe	Oe	-	-	Oe	-	Oe	-	-	-	-	-	-
ZTHA	Zone Tailed hawk	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LTHE	Long Tailed Hermit	-	-	-	-	-	-	-	-	-	-	-	-	-	Ob	-	-	-
YFCA	Yellow Headed Caracara	-	-	-	-	-	-	-	-	-	-	-	-	-	Oe	-	Ps	Ps
BLWA	BLACKBURNIAN Warbler	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Oe	-	-
LEEL	Lesser Elania	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Ob	-	-
RCWA	Rufous Capped Warbler	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Ob	Ob	-
TWWO	Tawny Winged Woodcreeper	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Ob	-
WOTH	Wood Thrush	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Ob	-
GRHA	Gray Hawk	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Oo
																		
