	DATE	29/08/2007	17/09/2007	27/09/2007	07/10/2007	23/10/2007	29/10/2007	10/11/2007	22/11/2007	11/30/2007	12/13/2007	15/01/2008	1/23/2008	2/4/2008	14/02/2008	04/03/2008	13/03/2008	01/04/2008
RCMA	Red Capped Manakin	Ob	Ob	Ob	Ob	Ob	Ob	Ob	-	-	Ob	Ob	Oe	Ob	Ob	-	Ob	Ob
RLPA	Red Lored Parrot	-	-	-	-	-	-	-	-	-	-	-	Oo	-	-	-	-	-
RIWR	Riverside Wren	-	-	-	-	-	-	-	Ob	-	Ps	-	-	-	-	-	-	Ob
ROHA	Roadside Hawk	-	-	-	-	-	Ps	Ob	-	-	Ps	-	-	-	-	Ps	Ps	-
RBGR	Rose Breasted Grossbeak	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RQDO	Ruddy Quail Dove	-	-	-	-	-	-	-	-	Oe	-	-	-	Ob	-	-	Ob	-
RTFL	Ruddy Tailed Flycatcher	-	-	-	-	-	-	-	-	-	-	-	-	Ob	-	-	-	-
RUWO	Ruddy Woodcreeper	-	-	-	-	Ob	-	-	-	-	-	Ob	Ob	Ob	-	Ob	Ob	Ob
RBWR	Rufous Breasted Wren	-	-	-	Ob	Ob	-	-	-	Oe	-	-	-	-	-	-	-	-
RUPI	Rufous Phia	Ps	Ps	Ps	Ps	Ps	Ps	Ps	Oe	Ps	Ps	Ps	Ps	Ps	Ps	Ps	Ps	Ps
RTHU	Rufous Tailed Hummingbird	Ob	Ob	Ob	-	-	-	Ob	Ps	Ob	-	-	-	Ob	-	-	Ob	Ob
SBHU	Scaly Breasted Hummingbird	-	-	-	-	-	Ob	-	-	-	-	-	-	-	-	-	-	-
SRTA	Scarlet Rumped Tanager	-	-	-	-	Ob	-	Oe	Oe	-	-	-	-	Oe	-	-	-	-
SBPI	Short Billed Pigeon	Ps	Ps	-	Ps	-	-	Ps	Ps	-	Ps	-	-	Ps	Ps	Ps	Ps	-
SHRE	Slatty Headed redstart	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SPTA	Speckled Tanager	-	-	Ob	-	-	Oe	-	-	-	-	-	-	-	-	-	-	Ps
SPOW	Spectacled Owl	-	-	-	-	-	-	-	-	-	-	Ob	-	-	-	-	-	-
SCEU	Spotted Crowned Euphonia	-	Ps	Ps	Ps	Ps	Ps	Ob	Ob	Ps	Ps	-	-	-	Ps	-	Ps	Ob
SCWO	Spotted Crowned Woodpecker	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Ob	Ob
SPWO	Spotted Woodcreeper	-	-	-	Ob	-	-	-	Ob	-	-	Ob	Oe	-	-	-	Ob	-
SQCU	Squirrel Cuckoo	-	Ps	Ps	Ps	-	Ps	Ps	Ps	-	Oe	Oe	-	Oe	-	Ps	Ps	Ps
SUTA	Summer Tanager	-	-	-	-	-	Oe	Oe	Oe	-	Ps	-	-	Ps	-	Ps	-	-
SRFL	Suphur Rumped Flycatcher	-	-	Ob	-	Ob	-	-	Ob	-	-	-	-	Ob	-	Ob	-	-
SWTH	Swainsons Thrush	-	-	-	Ob	Ob	Oe	Ob	Ob	Ps	Ob	-	Ob	Ob	-	-	Ps	Ob
TCGR	Tawny Crowned Greenlet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TWWO	Tawny Winged Woodcreeper	Ob	Ob	-	Ob	Oe	-	-	-	Ob	Ob	Ob	-	-	-	-	Ob	Ob
TEWA	Tennessee Warbler	-	-	-	-	-	-	-	-	Oe	-	-	-	-	-	-	-	-
TBSE	Thick Billed Seedeater	-	-	-	-	-	-	-	-	Ob	Ob	-	-	-	-	-	-	-
TRGN	Tropical Gnatcatcher	Ps	Ps	Ps	Ps	Ps	Ps	-	Ps	Ps	Ps	Ps	-	Ps	-	-	-	Ps
TUVU	Turkey Vulture	Oe	-	-	-	-	-	-	-	-	-	-	Oo	Oe	Oo	-	-	-
TUCO	Turqouise Cotinga	-	-	Ps	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VASE	Variable Seedeater	Ob	Ob	Ob	-	-	-	-	-	-	-	-	Ob	-	-	Ob	-	-
VITR	Violaceous Troogon	-	-	-	-	-	-	-	-	-	-	-	-	Ps	-	Oe	Ps	-
VCWO	Violet Crowned Woodnymph	Ob	Ob	-	-	-	-	-	Ob	Ob	-	-	Oe	-	-	Oe	Oe	Ob
VISA	Violet Sabrewing	-	-	Ob	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WBWO	Wedge Billed Woodcreeper	-	-	Ob	-	-	Ob	-	-	-	-	-	-	-	-	-	-	-
WHWR	Whistling Wren	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WBWW	White Breasted Wood Wren	Ps	Ps	Ob	-	Oe	Oe	-	Ps	Oe	Ob	Ob	-	-	-	-	Oe	-
WCPA	White Crowned Parrot	Ps	Ps	-	-	Oe	Ps	Ps	Ps	-	-	-	Oe	Oe	-	-	-	-
WNJA	White Necked Jacobine	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRMA	White Ruffed Manakin	-	-	-	-	-	-	-	Ob	Ob	Ob	-	Ob	-	-	-	-	-
WSTA	White Shouldered Tanager	Ob	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WTRO	White Throated Robin	-	Ps	Oe	Ob	-	Ps	Ob	Ob	Ps	-	Ob	-	Ps	Ps	-	-	-
WTDO	White Tipped Dove	-	-	-	-	-	-	-	Oe	-	-	Oe	-	-	Oe	-	Oe	-
WTSI	White Tipped Sicklebill	Ob	Ob	-	-	Ob	-	-	-	-	-	-	-	-	-	-	Oe	-
WWBE	White Winged Becard	-	-	-	-	-	-	-	-	Oe	-	-	-	-	-	-	-	-
WOTH	Wood Thrush	-	-	-	-	Oe	-	-	-	-	-	-	Ob	-	-	-	Ob	Oe
YBFL	Yellow Bellied Flycatcher	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YBCU	Yellow Billed Cukoo	-	-	-	-	-	-	Ob	-	-	-	-	-	-	-	-	-	-
SCEU	Yellow Crowned Euphonia	Ps	-	-	-	-	-	-	Ps	Oe	-	-	-	-	-	-	-	-
YFGR	Yellow Faced Grassquit	-	-	-	-	-	-	-	Ob	-	-	-	-	-	-	-	-	-
YHCA	Yellow Headed Caracara	-	-	-	-	-	-	-	-	-	-	-	-	Oo	-	-	Ps	-
YOFL	Yellow Olive Flycatcher	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YTVI	Yellow Throated Vireo	-	-	-	-	-	-	-	-	-	-	-	Oe	-	-	-	-	-
STTR	Slatty Tailed Trogon	-	-	-	-	-	-	-	-	-	-	-	-	-	Ps	Ps	Ps	-
STFL	Streaked Flycatcher	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ob	-	-
BWHA	Broad Wing Hawk	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Ps	Ps	-
PIFL	Piratic Flycatcher	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Ps	-
